,источник деривации,лемма греч.,часть речи ,фонетич. и графическая вариантность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата создания списков,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки
месалиане,,,мн.,месалияне,,,,,"Последователи одной из раннехристианских ересей, отвергавших церковную иерархию, отличавшихся аскетизмом и культом молитвы.",,"СлРЯ, 9, 108",,,,XVI в.,,"Месалияне ж молебници сказуются, иже многоглаватую и многоименитую ересь имѢют. Корм. Балаш., 166 об.",,,,
месалианский,,,прил.,,,,,,Прил. к месалиане.,,"СлРЯ, 9, 108",,,,XVI в.,1487 г.,"Покрыты же суть онех еретик клятвою укоризною маркианскиа глаголю и месалианскиа. Геннадий. Посл.Прох., 310.",,,,
мессия,,,м.,"месия, месиа",,"от лат. messias из древнегреч. μεσσίας, из семистк., ср. арамейск. meshiḥa ‘помазанник; царь’",,да,"Мессия, избавитель. По канонам иудейской и христианской религий, помазанник, посланец бога, призванный уничтожить зло на земле и спасти человечество.",,"СлРЯ, 9, 109",,,,XII-XIII вв.,,"ВѢдѢ яко месия идеть; месия же тълъкуеться Х҃съ (Μεσσίας). (Сл.Ио.Злат.) Усп.сб., 424.",,,,
металный,,,прил.,,,,,,Сделанный из металла.,,"СлРЯ, 9, 123",,,,1710 г.,,"Ядра толщины металнои стѢны имутъ, надобно шуфлу быть длины 31/2 калибра. Бринк. Артил., 74.",,,,
металщикъ,,,м.,,,,,,Мастер по металлу.,,"СлРЯ, 9, 123",,,,1667 г.,,"илъ челомъ великому государю металщикъ Сенка Антипинъ о томъ же дворѢ, чтобъ великий государь пожаловалъ ево, велѢлъ ему тотъ дворъ отдать в цѢну. Кн.прих.-расх. Синб., 101.",,,,
металъ,,,м.,,"метала, металя, ж.",от лат. metallum из древнегреч. μέταλλον,,да,"Металл, сплавы металлов.",,"СлРЯ, 9, 122",,,,XVII в.,1534 г.,"А в тѢх временех злато и сребро ни во что мнѢли быша, н҃нѢ же паки мѢд<ь> ни во грош, а злато и сребро всѢх металей одолѢваетъ. Травник Любч., 680.",,,,
метание,,μετάνοια,ср.,,метания,,,,"Поклон (обычно поясной), а также другие движения, выражающие смирение, раскаяние, мольбу.",inclinatio,"ФГcэ, III, 124; СлРЯ, 9, 123",,,,XVI в.,XIV в.,"Идущемь же имъ в путь, сътвори ученик метание старцу. (Патерик Скит.) ВМЧ, Дек. 31, 2512.",,,,
метафора,,μεταφορά,ж.,,,,,,Метафора.,,"СлРЯ, 9, 126",,,,XVIII в.,,"Из сихъ метафоръ свойства нѢкая разумѢемъ. Тако писание зоветъ Хр҃ста аг҃нца, лва и проч.: четыри же ев҃глисты зв҃рей образы знаменает. Сим.Пол.Бес., 69 об.",,,,
метафорически,,,нареч.,,,,,,В переносном смысле.,,"СлРЯ, 9, 126",,,,XVIII в.,,"И само писание намъ часто б҃га метафорически под видомъ описуетъ плотскимъ. Сим.Пол.Бес., 69.",,,,
метафорично,,,нареч.,,,,,,В переносном смысле.,,"СлРЯ 9, 126",,,,"1691 г.
",,"Къ сему на тѢ видообразныя вещи приличны юнымъ людемъ метафорично, си есть переноснѢ, еже отъ вещей слово къ дѢлу потребну вземлется, стихи нравоучителны написашася. Истом.Лиц. букварь, 31.",,,,
метафорский,,,прил.,,,,,,Метафорический.,,"СлРЯ 9, 126",,,,XVIII в.,1501 г.,"Тутъ есть г҃лание метафорское. Длр., 225.",,,,
метафрастъ,,,м.,,,,,,Название религиозной книги.,,"СлРЯ 9, 126",,,,XVII в.,,"Метафрастъ - книга, имущия слова на вся торжественыя праздники христовы и богородичны и на памяти великие святых. Алф.1, 138 об.",,,,
метохия,,"μετοχή,μετόχιον",ж.,метохиѥ,метохий (метухий),,,,"Обитель, монастырь; монастырское имение (ср. греч. μετόχιον, μετόχι).",,"ФГcэ, III, 124; СлРЯ, 9, 129",,,,1496 г.,1113 г.,"И присла въ метохию святаго Савы и позва игумена того святаго Савы и съ черници его. Х.Дан.иг., 132.",,,,
метохъ,,μετόχιον,м.,,,,,,"То же, что метохия.",,"СлРЯ, 9, 128",,,,XVI в.,,"По сих убо купи, бл҃жныи метох противу граду (μενόχιον). ВМЧ, Апр. 1-8, 95.",,,,
метрика,,,ж.,,,,,,Собрание актов (?).,,"СлРЯ, 9, 129",,,,1684 г.,,"Писма, книги грацкие, земские, трибунальские... метрики, библиотеки, книги костелные и церковные, посолства отъ воеводствъ и повѢтовъ, которые посыланы съ подданством, отданы быти имѢли и на порубежные мѢста отсланы. ДАИ XI, 44.",,,,
метрикъ,,,м.,,,,,,Землемер.,,"СлРЯ, 9, 129",,,,XVII в.,,"А рядовой шагъ пѢшеходцовъ есть дву ступеней, а двойной шагъ держать его метрицы, сиречь: землѢмѢрцы за пять ступеней, двѢ ступени будутъ въ слѢдѢхъ, а три ступени перешагнетъ и станутъ три ступени межъ словъ, межъ дву ступеней. Устав ратных д. I, 191.",,,,
метро,,μέτρον,с.,,,,,,"В силлабической поэзии - двусложная стопа (""нога""), а также стихотворный размер, метр (ср. греч. μέτρον).",,"СлРЯ, 9. 129",,,,XVII в.,,"Метро - мера грамматических слогов. Алф.1, 139 об.",,,,
метръ,,,м.,,,через франц. mètrе из лат. metrum от греч. μέτρον «мера».,,да,"Измерение, мерение.",,"СлРЯ, 9, 129",,,,XVII-XVIII вв.,1694 г.,"Длина, толща все дѢлится метромъ. Истом.Град.ц., 17 об.",,,,
мефимонъ,,,м.,,,,,,"Вечерняя церковная служба, совершаемая в первую неделю великого поста.",,"СлРЯ, 9, 129",,,,1377 г.,,"(1206): Быс<ть> знаменье на небеси в сл҃нци, мс҃ца февраля въ ·к҃и· д҃нь, в сред<у> сырное нед<е>ли, и стоя отъ полуд҃не до мефимона. Лавр.лет., 428.",,,,
механика,,μηχανή,ж.,,,"От лат. mēchanicus, из др.-греч. μηχανικός ‘умелый’, далее из μηχανή ‘орудие, приспособление’.",,,"Наука, изучающая законы перемещения тел в пространстве.",,"СлРЯ, 9, 131",,,,1709 г.,,"При семъ же послали к вамъ книшку о механике купно и с переводом на словенскомъ языке. Зак. Петра, I, 35.",,,,
механский,,,прил.,,,,,,Относящийся к осадному орудию (механи).,,"СлРЯ, 9, 131",,,,1642 г.,,"Catapultarium pilum мѢха(н)ски(й). Лекс. лат.-словен., 114.",,,,
механь,,,ж.,,,,,,Осадное орудие.,,"СлРЯ,9, 131",,,,1642 г.,,"Catapulta... мѢхань. Лекс. лат.-словен., 114.",,,,
мехиръ,,ο μεχείρ,м.,,,,,,Название египетского месяца мехир.,,,,,,1495 г.,XII-XIII вв.,"Убываниа убо сл҃нцю лучает не часто по двою на десят мехиря мс҃ца. Козма Инд.2, 201.",,,,
мигдаловый,,,прил.,магдаловый,,,,,Миндальный.,,"СлРЯ, 9, 148",,,,XVI в.,,"Мигдаловое ж<е> дерево... исправляется, коли в него будет вбитъ клинъ деревяный. Назиратель, 262.",,,,
мигдаль,,"αμύγδαλος, 'αμυγδάλη, 'αμυγδάλιον",м.,"мигдалъ, михдалъ, магдалъ",,,,"польск. migdał, из лат. amygdalus",Миндаль.,,"СлРЯ, 9, 149",,,,XV в.,1370 г.,"СѢють пшеницю и ячмень промежу масличиа и мигдаловъ. Х.Грефения, 402.",,,,
мигдальный,,,прил.,,,,,,Миндальный.,,"СЛРЯ, 9, 149",,,,XVII в.,1534 г.,"ПримѢшаемъ соку сладкихъ ядръ мигдалных. Травник Любч., 176.",,,,
мигдальский,,,прил.,,,,,,Миндальный.,,"СлРЯ, 9, 149",,,,XVI в.,,Дубъ мигдальскъ. Мин. (М.),,,,
мидия,,μύδι,ж.,,,,,,,ostreae species,"ФГcэ, III, 124",,,,,,,,,,
микра,,μικρός,ж.,,,,,,,,"ФГcэ, III, 125",,,,,,,,,,
микренький,,μικρός,прил.,,,,,,,,"ФГcэ, III, 124",,,,,,,,,,
микрецъ,,μικρός,м.,"макрецъ, мякрецъ",,,,,,,"ФГcэ, III, 125",,,,,,,,,,
микро,,μικρός,нареч,,,,,,,,"ФГcэ, III, 124",,,,,,,,,,
