,источник деривации,лемма польск.,часть речи, фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариантивность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях восточнославянских языков,переводные источники,оригинальные источники,дата создания списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация,связывающие отсылки
карлица,,karlica,ж.,,,,,,женск. к карликъ.,,"СлРЯ, 7, 80",,,"Якут.а., карт. 6, №5, сст. 112. 1646 г.; Заб.Мат.I, 1205. 1584 г.",1584,,"Дано портнымъ мастеромъ... подъ лѣтники карлицамъ на подкладки полотно. Заб.Мат.I, 1205. 1584 г.",,,,
кармазинъ,,karmazyn,м.,кармазимъ,,,,,Ярко-красный цвет.,,"СлРЯ, 7, 81; Фасмер, II, 201",,,"Ревел.а.I, 87. XVI в.; ДТП III, 1636. 1670 г.; Сл.Ридлея",XVI в.,,"Камокъ кармазину и иными цветами, и ты ихъ однолишно, какъ будетъ мошно, и ты ихъ промысли. Ревел.а.I, 87. XVI в.",,,,
кармазинъ,,karmazyn,м.,кармазимъ,,,,,Сорт красной ткани.,,"СлРЯ, 7, 81; Фасмер, II, 201",,,"Кн.расх.Болд.м., 172. 1600 г.; АМГ II, 268. 1650 г.; АИ IV, 532. 1674 г.",1600,,"Тафты червчатой виницейки кармазиму два аршина. Кн.расх.Болд.м., 172. 1600 г.",,,,
кармазиновый,,karmazynowy,прил.,,,,,,,,"СлРЯ, 7, 81",,,"Столб.ик., 409. 1668 г.; ДТП III, 35. 1670 г.",1668,,"Приказалъ ему дать государева жалованья кафтанъ отласной, другой кармазиновой суконной. Столб.ик., 409. 1668 г.",,,,
кармелитъ,,karmelita,м.,,,,,,"Монах, представитель римско-католического монашествующего ордена кармелитов.",,"СлРЯ, 7, 82",,,"Арх.Курак.I, 107. 1705 г.",,,L pocz. 17 w.,,,,
кармелитанский,,karmelitański,,,,,,,,,,,,,,,"MMP 1699, P",,,,
кармелитский,,karmelicki,,,,,,,,,,,,,,,VK1 1628,,,,
карта,,"karta (plan, mapa)",ж.,,,,,,"Чертеж земной поверхности, карта.",,"СлРЯ, 7, 83; Фасмер, II, 203",,,"Петр, I, 117. 1697 г.; Арх.бум.Петра, II, 51. 1716 г.",1697,,"Знать чертежи или карты морския, компасъ, также и прочая признаки морския. Петр, I, 117. 1697 г.",,,,
картаунъ,,kartaun,м.,,,,,,"Название осадной пушки, заряжавшейся ядром в 40 фунтов (16 кг).",,"СлРЯ, 7, 83",,,"Моск.вед.I, 171 (2). 1704 г.; Лекс.вокаб.нов., 372. н. XVIII в.",1704,,"Взято въ городѣ Дерптѣ шведскихъ пушекъ и всякой артилерии... девяносто седмъ пушекъ картауновъ и полукартауновъ. Моск.вед.I, 171 (2). 1704 г.",,,,
кортеляжъ,,kartelusz,м.,"картеляшъ, картеляжъ",,,,,Вид холодного оружия.,,"СлРЯ, 7, 345",,,"Столб.Арх.Оруж.пал., 123. 1619 г.; Росп.оруж.казны, 4. 1647 г.; Росп.им.Н.Ром., 48. 1657 г.",1619,,"Солоница серебрена четыроугольна... подъ солонкою на стоянцѣ промежъ столбиковъ стулъ; на стулѣ человѣкъ на конѣ золоченъ въ латахъ, въ шишакѣ, въ правой рукѣ картеляшъ; сидитъ замахнясь; подъ конемъ змѣя о четырехъ ногахъ... Столб.Арх.Оруж.пал., 123. 1619 г.",,,,
картка,,kartka,ж.,,,,,,"Род документа, свидетельство, расписка, записка.",,"СлРЯ, 7, 84",,,"АИ II, 398. 1611 г.; (Отч.расх.цар.казн.) РИБ II, 248. 1612 г.",1611,,"Чтобъ язъ ко всему войску королевскому и къ твоей милости объ людехъ писалъ, чтобъ спѣшили къ Москвѣ вскорѣ, и картку ко мнѣ прислали, которая писана ко мнѣ изъ Дѣвичья монастыря отъ них; и язъ ту картку послалъ къ твоей милости, съ своимъ листомъ запечатавъ. АИ II, 398. 1611 г.",,,,
картуз,,kartuz,,,,,,,,,,,,,,,L 1678,,,,
карты,,karty,,,,,,,,,"СлРЯ, 7, 83",,,Рус.-нем. словарь1,,,"RB, X 1581, RID, FR1 1614 — уточнить значение - карты игральные?",,,,
картяной,,karciany,прил.,,,,,,Картяная игра — карточная игра.,,"СлРЯ, 7, 85",,,"АЮБ III, 453. 1697 г.",,,"А картяной и зерновой игры на кабакахъ отнюдь не было бъ, и сбирать картяное и зерновое въ свѣтлицѣ. АЮБ III, 453. 1697 г.",,,,
картяной,,karciany,прил.,,,,,,"В знач. сущ. Картяное, с.: а) То, что относится к карточной игре; сама игра в карты (?). б) Штраф, взимаемый за игры в карты (?).",,"СлРЯ, 7, 85",,,"АЮБ III, 453. 1697 г.",,,"А картяной и зерновой игры на кабакахъ отнюдь не было бъ, и сбирать картяное и зерновое въ свѣтлицѣ. АЮБ III, 453. 1697 г.",,,,
карчемство,,karczemstwo,,,,,,,,,,,,,,,B,,,,
карчма,,karczma,,,,,,,,,,,,,,,"PEN, NOM(XXII), O",,,,
кастанат,,"kaszanat, kassanat",,,,,,,,,,,,,,,L17w.,,,,
кастрат,,kastrat,,,,,,,,,,,,,,,"A 1698, P 1780",,,,
кат,,kat,,,,,,,,,,,,,,,"ON 1564, DAM, K1 1660, S 1678",,,,
катанка,,katanka,ж.,,,,,,Род верхней одежды.,,"СлРЯ, 7, 89",,,"Кн.расх.Ивер.м. №24, 100 об. 1664 г.; Кн.Ивер.м.II, 231 об. 1668 г. ",1664,,"Дано портному мастеру Федки Иванову восмь ал҃тнъ... сшил он старцу Аввакуму катанку однорядочного сукна и подшил овчинами. Кн.расх.Ивер.м. №24, 100 об. 1664 г.",,,,
катаръ,,katar,м.,,,,,,Название некоторых болезней.,,"СлРЯ, 7, 89",,,"Леч.III, 147. XVIII в. ~ 1672 г.",XVIII в.,1672,"Какъ примешъ въ водкѣ алкакелгитѣ (?) и то выгонитъ всякие катары, сирѣчь мокроту, изо всѣхъ суставовъ, и подагру, сирѣчь камчюгъ, и дропию, сирѣчь водяную болѣзнь. Леч.III, 147. XVIII в. ~ 1672 г.",,,,
кафедра,,katedra,ж.,катедра,,,,,Местопребывание епископа; кафедральный город.,,"СлРЯ, 7, 94",,,"ДАИ VII, 58. 1676 г.",1676,,"[Жалованная грамота] дана... на всѣ его архиепископли маетности, съ мелницами, и съ вотчинами... кь его артиепископской Черниговской и Новгородцкой къ катедрѣ належащие. ДАИ VII, 58. 1676 г.",,,,
кафедральный,,katedralny,прил.,катедральный,,,,,прил. к кафедра (катедра),,"СлРЯ, 7, 94",,,"ДАИ VII, 59. 1676 г.; Арх.Курак.I, 110. 1705 г.",1676,,"Велѣть написать въ... жаловалную грамоту... въ самомъ городѣ Черниговѣ два мѣста близь монастыря катедралного будучие купленые. ДАИ VII, 59. 1676 г.",,,,
католикъ,,katolik,м.,кафоликъ,,,,,"Тот, кто исповедует католическую веру, католик.",,"Фасмер, II, 210; СлРЯ, 7, 91",,,"Куранты1, 156. 1631 г.; ДАИ VII, 325. 1676 г.",1631,,"А меж католиков палъ страх великои от свѣиского и от<ъ>ѣжают езовиты и попы из княжства Швеидъницъ и из Явера многим числом. Куранты1, 156. 1631 г.",,,,
католицкий,,katolicki,прил.,,,,,,,,"СлРЯ, 7, 92",,,"Курб.Ист., 255. XVII в. ~ XVI в.; Пох.журн., 21. 1697 г.",XVII в.,XVI в.,"Внегда же пребывахомъ въ католицкои вѣре и жительствовахомъ мѣрне и целомудренне, тогда господь нашъ здѣ живущихъ вездѣ покрывалъ ото враговъ нашихъ. Курб.Ист., 255. XVII в. ~ XVI в.",,,,
кафля,,"kafla, kachla",ж.,кахля,,,,,Изразец.,,"СлРЯ, 7, 94; Фасмер, II, 212",,,"Кн.Ивер.м.I, 7. 1665 г.; А.Ивер.м. Отп. старца ""печюра"" Селивестра 1677 г.",1665,,"Куплено в селѣ Будне у печкура у Якушка Степанова сто кафель зеленых да пятдесят простых бѣлыхъ. Кн.Ивер.м.I, 7. 1665 г.",,,,
кафоликъ,,kufelek,м.,,,,,,(?),,"СлРЯ, 7, 94",,,"Опис.Холмог.ц., 24 об. 1696 г.",1696,,"В томъ же горну кафоликъ желѣзнои на ношках з древянымъ рукоятиемъ. Опис.Холмог.ц., 24 об. 1696 г.",,,,
каштелянъ,,kasztelan,м.,"кашталянъ, коштелянъ",,,,,"Главное военное должностное лицо уезда (повята) в Польше в XVI–XVII вв.; комендант крепости, города.",,"СлРЯ, 13, 123; СлРЯ, 7, 99",,,"Польск.д.III, 621. 1570 г.; Рим.имп.д.I, 575. 1576 г.; Куранты2, 51. 1643 г.; ДАИ V, 298. 1671 г.; ДАИ XI, 152. 1684 г.",1570,,"Почту его милости пана Миколая Талвоша, кашталяна менского... двору его милости самого и зъ дворяны его королевской милости, которые при его милости идутъ, людей особъ 257, коней 300. Польск.д.III, 621. 1570 г.",,,,
каштелянка,,kasztelanka,ж.,каштялянка,,,,,Жена каштеляна.,,"СлРЯ, 7, 99",,"Рим.д., 282. 1688 г.",,1688,,"Кн҃зь видячи Иулиана удалого... и велми смѣлаго учинилъ его рыцарѣмъ и нѣкоторую каштялянку въдову далъ ему въ жену. Рим.д., 282. 1688 г.",,,,
каштелянский,,kasztelański,прил.,,,,,,Относящийся к каштеляну.,,"СлРЯ, 7, 99",,,"Куранты2, 76. 1643 г.",1643,,"В Ригу приѣхали трое сенаторских детеи... третеи каштелянскои с҃нъ имя ему Виртъборскии. Куранты2, 76. 1643 г.",,,,
квадрант,,kwadrant,,,,,,,,,,,,,,,"C 1688, F, P 1731",,,,
квадрат,,kwadrat,,,,,,,,,,,,,,,"L 1670, P 1780 - L ссылается на Козм. 112",,,,
кварта,,kwarta (interwał muzyczny),ж.,,,,,,,,,,,,,,L 17 w.,,,,
кварта,,kwarta (naczynie),,,,,,,,,,,,,,,C 1658; S 1678; P 1731,,,,
квартальный,,kwartalny,,,,,,,,,,,,,,,"L 1679, P 1792",,,,
квартарь,,kwartarz,м.,,,"Заимствовано через польск. kwartarz ‘кружка, мера жидкости’ из лат. quārtārius ‘четверть меры’ (Фасмер II, 217). ",да?,,"То же, что кварта: мера жидкости в 1/8 или 1/10 ведра.",,"СлРЯ, 7, 103; Фасмер, II, 217",,,"Котош., 148. 1667 г.",1667,,"Чарка бываетъ въ четвертую долю квартаря или малымъ болши. Котош., 148. 1667 г.",меры,,,
квартирмистр,,kwatermistrz,,квартермистр,,,,,,,,,,,,,"C 1595, A, P 1804 ||кватермистр SM",,,,
квартянин,,kwarcianin,,,,,,,,,,,,,,,K1 1605,,,,
кватера,,kwatera,,,,,,,,,,,,,,,K1 1607,,,,
кветок,,kwiatek,,,,,,,,,,,,,,,"Сл.Шрове, Рус.-нем. словарь1",,,,
квинта,,kwinta (interwał muzyczny),ж.,,,,,,"Квинта (интервал), а также пятая ступень в восходящей диатонической гамме.",,"СлРЯ, 7, 107",,,"Мусик.грам.Дил., 91. 1681 г.",1681,,"Ноты суть двойственны въ согласияхъ: свойственны и нейсвойственны. Свойственныя суть терции и квинты (сирѣчь въ мусикийскомъ числѣ третий и пятый)... Противо [мусикийской] грамматики, аще вся сия суть, яже суть несогласна и въ неисправномъ устроении положена; наипаче сия, егда бываетъ квинта по квинтѣ, или секста по секстѣ идетъ. Мусик.грам.Дил., 91. 1681 г.",,,,
квинталъ,,kwintal,м.,кинталъ,," Слово может быть соотнесено с франц. quintal ‘вес в 100 фунтов’ < араб. qintār ‘вес ста’, которые восходят в конечном счете к греч. κεντηνάριον ‘центнер’.",,да,"Мера веса (драгоценных металлов, пороха и пр.); золотник (?).",,"СлРЯ, 7, 107",,,"Куранты1, 180. 1637 г.; Моск.вед.I, 351 (1). 1706 г.",1637,,"Кантемир татарскии корол<ь> по велѣнию великаг<о> турка во Царѣграде задавленъ и наидено у него ·҂н· золотых да ·є҃ı· или ·к҃· квинталов серебра, а в квинталѣ по ·р҃· фунтов... что он все у полскаг<о> ограбил. Куранты1, 180. 1637 г.",,,,
