А,источник деривации,лемма греч.,часть речи ,фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки,,
кулизменный,кулизма,,прил.,,,,,,относящийся к кулизме (одному из общих названий знаков древнерусской певческой нотации),,"СлРЯ, 8, 115",,,"Мусик.грам.Дил., 14. 1681 г.",,,"Аще бы совершеннѣ грамматику мусикийскую изучилъ, тако бо справилъ знамение кулизменное руское. Мусик. грам. Дил., 14. 1681 г.",искусство. музыка,,,,,
куличный,куличь,,прил.,,,,,,относящийся к куличу ,,"СлРЯ, 8, 115",,,"Арх.бум. Петра, I, 361. 1692 г.",,,"Велѣно отпустить въ село Преображенское къ ракѣтному дѣлу… 2 четверика муки куличной. Арх. бум. Петра, I, 361. 1692 г.",быт. еда,,,,,
куличь,,κουλλίκι(ον) < κόλλιξ,м.,,,"из ср.-греч. κολλίκι(ον) (Фасмер, 2, 411)",,,кулич ,panis,"ФГcэ, III, 104; СлРЯ, 8, 115",,,"ДАИ I, 220. 1590 г.;  А.Свир.м., № 275, 5 об. 1666 г.",,,"Въ вторникъ свѣтлыи… куличи приносные ставятъ, ко штемъ по яицу. ДАИ I, 220. 1590 г.",быт. еда,,,,,
кумба,,κύμβη,ж.,,,,,,купол ,,"СлРЯ, 8, 117",,,"Арс.Сух.Проскинитарий, 143. 1653 г.",,,"Среди церкви четыре столпа, на нихъ же основана кумба. Арс. Сух. Проскинитарий, 143. 1653 г.",архитектура. храм и богослужебные постройки,,,,,
кумвалъ,,κύμβαλον,м.,кимвалъ,,,,,"музыкальный ударный инструмент, состоящий из двух металлических тарелок или чаш, кимвал ",,"СлРЯ, 8, 117; СДРЯ IV, 327","SJS II, 99","ГА XIII – XIV, 91б (СДРЯ IV, 327)",,XIII – XIV вв.,ΧΙ в.,"и наченъшемъ исповѣдатися г(с)ви въ труба(х) и въ кумбалѣ(х) и въ арганѣ, наполнися облака домъ г(с)нь и сла(в)ю многою. ГА XIII – XIV, 91б (СДРЯ IV, 327)",искусство. музыкальные инструменты,,,,,
куменъ ,,κύμινον,м.,"кименъ, киминъ, тминъ",,,,,тмин,,"СДРЯ IV, 327",,"ПНЧ XIV, 30в 9 (СДРЯ IV, 327)",,XIV в.,,"горе ва<м> книжници фарисѣи лицемѣри яко десятьствоете и кропъ и мяту и куменъ. ПНЧ XIV, 30в 9 (СДРЯ IV, 327)",природа. растения и плоды,,,,,
кумеркарий ,,κομ(μ)ερκιάριος,м.,кумеркиарий,,от лат. commersiarius,,греч.,"сборщик податей, налогов ",,"СДРЯ IV, 327",,"ПрЛ XIII, 60б (СДРЯ IV, 327)",,XIII в.,,"Въ градѣ турѣ. бѣ нѣкто десятиньникъ. именьмь мусхъ. многашды поведая гл҃ше. яку сущу ми въ кумеркарии. емлющю десятину людии гостящихъ. ПрЛ XIII, 60б (СДРЯ IV, 327)",экономика. занятия и профессии людей,,,кумеркиарий ,,
кумеркиарий,,κομ(μ)ερκιάριος,м.,кумеркарий ,,от лат. commersiarius,да,греч.,"сборщик податей, налогов ",mercator,"ФГcэ, III, 105; Срз. I, 1362; СлРЯ, 8, 117",,"Патерик Син., 301. XI в.",,XI в.,,"Въ Турѣ кумеркиарии бѣ. Патерик Син., 301. XI в.",экономика. занятия и профессии людей,,,кумеркарий ,,
кумитирь,,κοιμητήριον,м.,,,,,,"место погребения (в монастыре, церкви)",,"СлРЯ, 8, 120",,"(Пов. о ж. Епиф.) Усп. сб., 279. XII в.",,XII в.,,"Обычаи же бяше Епифану исходити нощию въ кумитиря (ἐν τοῖς κοιμητηρίοις). (Пов. о ж. Епиф.) Усп. сб., 279. XII – XIII вв.",архитектура. храм и богослужебные постройки,,,кимитрионъ,,
кундура,,"κουντούρα, κοντούρα < κοντός",ж.,,,,,,род обуви ,,"ФГcэ, III, 105; СлРЯ, 8, 121",,,"Арс.Сух.Проскинитарий, 254. 1653 г.",,,"Антиохийской [патриарх] же, полагая кундуры [на поле: башмаки на нихъ же вышиты золотомъ орлы], глаголетъ: се дахъ вамъ власть наступать на змию… У ерусалимскаго [патриарха] кундуры во облачении не примѣняютъ… въ которыхъ,придетъ, въ тѣхъ и служитъ. Арс. Сух. Проскинитарий, 254. 1653 г.",быт. обувь,,,,,
куновиархъ,,,,киновиархъ,,,,,начальник общежительной обители - киновии ,,"Срз I, 1368",,"Патерик Син., л. 122. XI в.(Срз I, 1368)",,XI в.,,"Великыи куновиархъ (μεγάλος κοινοβιάρχης). Пат. Син. XI в. 122.(Срз I, 1368)",религия. богослужебные должности,,,киновиархъ,,
куновий,,κοινόβιον,ж.,,куновия,,,,"киновия, монастырское общинножитие ",,"СлРЯ, 7, 126 ",,"Патерик Син., 108. XI в.",,XI в.,,"Приде братъ къ авва Илии, безмлъвнику, въ куновия врьтъпъ (εἰς τὸ κοινόβιον τοῦ σπηλαίου). Патерик Син., 108. XI в.",религия. богослужение,,,,,
куновия,,κοινοβία < κοινόβιον,ж.,киновия,куновий,,,,"киновия, монастырское общинножитие ",,"СДРЯ IV, 331",,"Уст XII/XIII, 216 об. (СДРЯ IV, 331)",,XII-XIII вв.,,"мьнишьскыѣ заповѣди живущихъ въ куновии. рекъше въкупѣ жити. Уст XII/XIII, 216 об. (СДРЯ IV, 331)",религия. богослужение,фонетическая вариантность отражает два способа произношения греч. -οι-,,,,
кунский1,,κυνικός,прил.,,,,,,"кинический, относящийся к учению киников ",,"СДРЯ IV, 331",,"Пч к. XIV, 30 (СДРЯ IV, 331)",,XIV в.,,"Сь исполнивъ костии блюдо, посла къ диогену, куньскому философу. Пч к. XIV, 30 (СДРЯ IV, 331)",религия. богослужение,,,,,
кунский2,,κυνικός ,прил.,,,,,,собачий ,,"СДРЯ IV, 331",,"Пч к. XIV, 30 (СДРЯ IV, 331)",,XIV в.,,"Сь исполнивъ костии блюдо, посла къ диогену, куньскому философу. онъ же приимъ и ре(ч). куньское брашьно се, но не ц(с)рьскыи даръ. Пч к. XIV, 30 (СДРЯ IV, 331)",природа. животный мир,,,,,
кунтилияне,,κυντιλιανοί,мн.,,,,,,сторонники одной из ересей ,,"СДРЯ IV, 331",,"Попузияне [так!] . иже и кунтилияне съ ними. же съвъкупляються хлѣбосырьници(κυντιλιανοί). КЕ XII, 256б (СДРЯ IV, 331)",,XII в.,,"Попузияне, иже и кунтилияне съ ними. же съвъкупляються. хлѣбосырьници. ереси дъвѣ о(т) нихъ еста. КЕ XII, 256б (СДРЯ IV, 331)",религия. ереси и секты,,,,,
купсель,,κυψέλη,ж.,,,,,,"хранилище для зерна, житница (?)",,"ФГcэ, III, 105; Срз. I, 1372; СлРЯ, 8, 133",,"ВМЧ, Дек. 6 – 17, 1054. XVI в.",,XVI в.,,"Что бѣсте, егда вложисте въ купселъ двадесято сата, и быша десят сата ячьмене. ВМЧ, Дек. 6 – 17, 1054. XVI в.",архитектура. сооружения и постройки,,,,,
купуръ,,κηπουρός,м.,,,,,,садовник,hortulanus,"ФГcэ, III, 105; Срз. I, 1372; СлРЯ, 8, 133",,"Патерик Син., 257. XI в.",,XI в.,,"и купуръ набрѣменивъ его зелия пустить (ὁ κηπουρός). Патерик Син., 257. XI в.",экономика. занятия и профессии людей,,,,,
курали,,от κουράλι,м.,коралъ,куралии,,,,коралл,,не зафиксировано,,"Шестоднев Ио.екз.2(Б.), 408. XV в.",,XV в.,,"И еще быхъ приложилъ… како многоцѣнныи камень, егоже зовуть курани [вм. курали; вар. XV и XVII вв.: куралии], зелена трава есть въ мори, таче же яко ся възнесе на въздухъ вонъ из воды, тако каменнемь ся сътнеть жестокомъ (τὸ κουράλιον). Шестоднев Ио.екз.2(Б.), 408. XV в.",,"для средневекового греческого языка исследователи отмечают сужение [o] > [u], особенно характерное для северногреческих диалектов (см., к примеру: Foy K. Griechische Vocalstudien // Beiträge zur Kunde indogermanischen Sprachen. 1886. XII. S. 51, 63; Hatzidakis G.N. Einleitung in die neugriechische Grammatik.  Leipzig, 1892. S. 105-107, 333, 349 (сноска); Thumb A. Beiträge zur neugriechischen Dialektkund // Indogermanische Forschungen. 1893. II. S. 105), что нашло отражение в славянских переводах (Фасмер М.Р. Греко-славянские этюды. II. Греческие заимствования в старославянском языке // Известия ОРЯС. Т. XII. Кн. 2. СПб., 1907. С. 209-210; он же.  Греко-славянские этюды. III. Греческие заимствования в русском языке. СПб., 1909. С. 22; Чернышева М.И. Греческие слова, способы их адап­тации и функционирование в славянском переводе “Хроники” Иоанна Малалы // В кн.: Истрин В.М. Хроника Иоанна Малалы в славянском переводе / Подготовка издания, вступительная статья и приложения М.И. Чернышевой. М., 1994. С. 447).",,коралъ,,
